"asset";"total_quantity";"total_cost_brl";"total_value_brl";"description"
"UNI-V3-POS#1060721 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1061113 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1061139 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1061313 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1063086 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1082030 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1085347 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1086492 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1088983 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1128097 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1128109 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1150552 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1157734 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1158655 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1173580 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1174614 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1175170 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1193581 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1193593 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1193630 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1199252 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1199286 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1208933 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1222269 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1235034 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1258375 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1258405 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1272417 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1287989 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1541420 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
